evaluation,fold,official_delay_weeks,country,region,horizon,model,n,mean_abs_target_z_difference,max_abs_target_z_difference,mean_abs_mu_difference,mean_abs_sd_difference,mean_abs_quantile_z_difference
rolling_window_cv,1,0,CHN,national,1,bioepi_sgq_lstm_full_raw,100,4.191091917959966e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,1,bioepi_sgq_lstm_no_digital,100,4.191091917959966e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,1,gb_full_raw,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.23396544524738372
rolling_window_cv,1,0,CHN,national,1,persistence,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.233322070977589
rolling_window_cv,1,0,CHN,national,1,ridge_global_open,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.20595074641528532
rolling_window_cv,1,0,CHN,national,1,ridge_google_wiki,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.20595074641528532
rolling_window_cv,1,0,CHN,national,1,ridge_no_digital,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.19973078770150102
rolling_window_cv,1,0,CHN,national,1,ridge_raw_cn_search,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.2215340706147972
rolling_window_cv,1,0,CHN,national,1,ridge_social_raw,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.22146070854308145
rolling_window_cv,1,0,CHN,national,1,seasonal_naive,100,0.1958518598633386,1.292851798325339,0.02354937154348935,0.05482750716776764,0.27365984743536237
rolling_window_cv,1,0,CHN,national,2,bioepi_sgq_lstm_full_raw,100,4.191091917959966e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,2,bioepi_sgq_lstm_no_digital,100,4.191091917959966e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,2,gb_full_raw,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.19647775863589378
rolling_window_cv,1,0,CHN,national,2,persistence,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.23688063178391897
rolling_window_cv,1,0,CHN,national,2,ridge_global_open,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.22916941682352726
rolling_window_cv,1,0,CHN,national,2,ridge_google_wiki,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.22916941682352726
rolling_window_cv,1,0,CHN,national,2,ridge_no_digital,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.20883972271913187
rolling_window_cv,1,0,CHN,national,2,ridge_raw_cn_search,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.23526882273820718
rolling_window_cv,1,0,CHN,national,2,ridge_social_raw,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.23319113458873741
rolling_window_cv,1,0,CHN,national,2,seasonal_naive,100,0.19515875590463164,1.3255633892980736,0.02363033101412615,0.05644748556287194,0.2728911581219693
rolling_window_cv,1,0,CHN,national,3,bioepi_sgq_lstm_full_raw,100,4.218847493575595e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,3,bioepi_sgq_lstm_no_digital,100,4.218847493575595e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,3,gb_full_raw,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.22690571476009283
rolling_window_cv,1,0,CHN,national,3,persistence,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.2547556932465936
rolling_window_cv,1,0,CHN,national,3,ridge_global_open,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.2937898737374426
rolling_window_cv,1,0,CHN,national,3,ridge_google_wiki,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.2937898737374426
rolling_window_cv,1,0,CHN,national,3,ridge_no_digital,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.22018860630120765
rolling_window_cv,1,0,CHN,national,3,ridge_raw_cn_search,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.25866970687074764
rolling_window_cv,1,0,CHN,national,3,ridge_social_raw,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.26878310653186177
rolling_window_cv,1,0,CHN,national,3,seasonal_naive,100,0.19263944058841123,1.3535812840194552,0.022675978270096042,0.057944876830926084,0.27077966962053784
rolling_window_cv,1,0,CHN,national,4,bioepi_sgq_lstm_full_raw,100,4.218847493575595e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,4,bioepi_sgq_lstm_no_digital,100,4.218847493575595e-17,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,national,4,gb_full_raw,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.3136122872673121
rolling_window_cv,1,0,CHN,national,4,persistence,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.27822985672218503
rolling_window_cv,1,0,CHN,national,4,ridge_global_open,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.37380925252605907
rolling_window_cv,1,0,CHN,national,4,ridge_google_wiki,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.37380925252605907
rolling_window_cv,1,0,CHN,national,4,ridge_no_digital,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.2371308353767633
rolling_window_cv,1,0,CHN,national,4,ridge_raw_cn_search,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.2540480292000063
rolling_window_cv,1,0,CHN,national,4,ridge_social_raw,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.25459065522643365
rolling_window_cv,1,0,CHN,national,4,seasonal_naive,100,0.19174779334947525,1.384997929193256,0.0222503267973857,0.0595697352910679,0.277989540245849
rolling_window_cv,1,0,CHN,northern_provinces,1,bioepi_sgq_lstm_full_raw,100,6.74130889999347e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,1,bioepi_sgq_lstm_no_digital,100,6.74130889999347e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,1,gb_full_raw,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.13887362775242537
rolling_window_cv,1,0,CHN,northern_provinces,1,persistence,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.11419890166972019
rolling_window_cv,1,0,CHN,northern_provinces,1,ridge_global_open,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.12892026297247264
rolling_window_cv,1,0,CHN,northern_provinces,1,ridge_google_wiki,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.12892026297247264
rolling_window_cv,1,0,CHN,northern_provinces,1,ridge_no_digital,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.12411215521084634
rolling_window_cv,1,0,CHN,northern_provinces,1,ridge_raw_cn_search,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.1347177333958604
rolling_window_cv,1,0,CHN,northern_provinces,1,ridge_social_raw,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.1291885166303848
rolling_window_cv,1,0,CHN,northern_provinces,1,seasonal_naive,100,0.09235733678556529,0.6647606338553889,0.030643539467069214,0.047250711849955336,0.14045554004323713
rolling_window_cv,1,0,CHN,northern_provinces,2,bioepi_sgq_lstm_full_raw,100,6.763513360485973e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,2,bioepi_sgq_lstm_no_digital,100,6.763513360485973e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,2,gb_full_raw,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.11176122891170903
rolling_window_cv,1,0,CHN,northern_provinces,2,persistence,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.11860927207468369
rolling_window_cv,1,0,CHN,northern_provinces,2,ridge_global_open,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.13758159158460345
rolling_window_cv,1,0,CHN,northern_provinces,2,ridge_google_wiki,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.13758159158460345
rolling_window_cv,1,0,CHN,northern_provinces,2,ridge_no_digital,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.1284670979483127
rolling_window_cv,1,0,CHN,northern_provinces,2,ridge_raw_cn_search,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.13916226100258908
rolling_window_cv,1,0,CHN,northern_provinces,2,ridge_social_raw,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.13330314133994642
rolling_window_cv,1,0,CHN,northern_provinces,2,seasonal_naive,100,0.09216213111705934,0.6674698510041068,0.02701243938435649,0.04791633550995266,0.13832506344846315
rolling_window_cv,1,0,CHN,northern_provinces,3,bioepi_sgq_lstm_full_raw,100,6.738533342431907e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,3,bioepi_sgq_lstm_no_digital,100,6.738533342431907e-16,8.881784197001252e-16,0.0,0.0,0.0
rolling_window_cv,1,0,CHN,northern_provinces,3,gb_full_raw,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.11837343528034981
rolling_window_cv,1,0,CHN,northern_provinces,3,persistence,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.12586369098438704
rolling_window_cv,1,0,CHN,northern_provinces,3,ridge_global_open,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.17103049397039247
rolling_window_cv,1,0,CHN,northern_provinces,3,ridge_google_wiki,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.17103049397039247
rolling_window_cv,1,0,CHN,northern_provinces,3,ridge_no_digital,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.13014418203632103
rolling_window_cv,1,0,CHN,northern_provinces,3,ridge_raw_cn_search,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.1460039188067235
rolling_window_cv,1,0,CHN,northern_provinces,3,ridge_social_raw,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.14710227050108443
rolling_window_cv,1,0,CHN,northern_provinces,3,seasonal_naive,100,0.0910987123311143,0.6618102244925215,0.022684831508361203,0.04797609614227893,0.13424395481662596
