period,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
npi_2020_2021,0,bioepi_safe_lstm_common_scale,1,0.18201940381215073,0.2904190476985523,0.4149403308833878,0.8803508738721012,0.8337486302201251,0.45811965811965805,0.7745299145299145,0.9466666666666667,0.28440810299274694,0.548900639285874,1.2724950267098984,303.0,3,3,0.1759319148088386,1.0346013911684335,-3.4601391168433526
npi_2020_2021,0,bioepi_safe_lstm_common_scale,2,0.2821831430705648,0.4429178415748784,0.6078010513617225,0.7792049118153627,0.713263781784655,0.43367521367521367,0.7485470085470085,0.9288888888888889,0.4569394461562333,0.8602413638052658,1.6218444687351523,303.0,3,3,0.30355673810762374,0.9295894560921224,7.04105439078776
npi_2020_2021,0,bioepi_safe_lstm_common_scale,3,0.3348763733592135,0.5253642294041615,0.7060135587314955,0.740414989718866,0.6485181759669221,0.5052991452991453,0.7464957264957265,0.9066666666666667,0.6030777358383044,1.0834661501655063,1.8934814554774289,303.0,3,3,0.36596652605213875,0.9150464578596571,8.49535421403429
npi_2020_2021,0,bioepi_safe_lstm_common_scale,4,0.389541599034068,0.6140915203656093,0.8204500078889907,0.6424291167192815,0.533784708274071,0.4623931623931624,0.7811965811965812,0.8933333333333332,0.7373133824131773,1.3160134871881128,2.036242530689417,303.0,3,3,0.42234029391929684,0.9223405974815744,7.765940251842562
npi_2020_2021,0,bioepi_sgq_lstm_full_raw,1,0.18446334912218265,0.29579517153033,0.42543554494038704,0.8307322865549083,0.7695037483438668,0.5629059829059829,0.7923076923076923,0.9423931623931624,0.33423013799576995,0.6281806184052066,1.3873349374487927,303.0,3,3,0.1759319148088386,1.0484928179325168,-4.849281793251681
npi_2020_2021,0,bioepi_sgq_lstm_full_raw,2,0.3162908272945442,0.4965141126552278,0.6861135459592431,0.7460927895627081,0.6542622225545258,0.43726495726495723,0.763931623931624,0.9177777777777778,0.48647427823082917,0.893645465495277,1.5165108522905497,303.0,3,3,0.30355673810762374,1.0419496179406358,-4.194961794063579
npi_2020_2021,0,bioepi_sgq_lstm_full_raw,3,0.3749884965350577,0.5878909230401838,0.8072869022943492,0.6715419293563198,0.57944889450197,0.42495726495726494,0.6894017094017095,0.9066666666666667,0.6124229507933997,1.1262944638988133,1.8329385167426757,303.0,3,3,0.36596652605213875,1.0246524472613476,-2.465244726134763
npi_2020_2021,0,bioepi_sgq_lstm_full_raw,4,0.42225907589224115,0.6692512271825355,0.9211339256021402,0.5879796249259963,0.5307256242160615,0.36188034188034185,0.7504273504273504,0.9223931623931624,0.6982025181924286,1.2693041072301912,2.0119124247371776,303.0,3,3,0.42234029391929684,0.9998076952916285,0.01923047083715046
npi_2020_2021,0,bioepi_sgq_lstm_no_digital,1,0.17041840662698998,0.277643851007236,0.402474833481846,0.876357344350527,0.8372966492911087,0.4555555555555555,0.778974358974359,0.9466666666666667,0.27372249148422756,0.5384676118044626,1.2787658175434133,303.0,3,3,0.1759319148088386,0.9686611255960046,3.133887440399541
npi_2020_2021,0,bioepi_sgq_lstm_no_digital,2,0.2877976410571631,0.43616954027449645,0.6375930865781879,0.7908459980289257,0.7209464895201025,0.44478632478632485,0.7817094017094017,0.8999999999999999,0.43597458177696174,0.8416387636239379,1.542075340096155,303.0,3,3,0.30355673810762374,0.9480851680357911,5.191483196420887
