country,region,official_delay_weeks,model,horizon,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
CHN,northern_provinces,0,bioepi_safe_lstm_common_scale,1,364.0,0.20876367722726374,0.3413359340188065,0.6087777584743563,0.9270333333027126,0.9459709743236756,0.4807692307692308,0.8076923076923077,0.9532967032967034,0.3993055726637084,0.9106978937097407,1.9706596719185965
CHN,northern_provinces,0,bioepi_safe_lstm_common_scale,2,364.0,0.32841091552760643,0.5250097593462801,0.917333654773703,0.8276354593448626,0.879641926943383,0.4835164835164835,0.739010989010989,0.9395604395604396,0.6427584030934969,1.1796935766304502,3.4323319895421616
CHN,northern_provinces,0,bioepi_safe_lstm_common_scale,3,364.0,0.42777081973657927,0.6691254339881963,1.1355259088812717,0.7341620417462235,0.8251307849334171,0.5027472527472527,0.7472527472527473,0.9175824175824175,0.8365928403706409,1.539066478146565,4.388127041095746
CHN,northern_provinces,0,bioepi_safe_lstm_common_scale,4,364.0,0.511809592041606,0.8070424605777436,1.3067774808432397,0.6494338331322159,0.7606827408481377,0.4642857142857143,0.7637362637362637,0.9065934065934066,0.9919481196802454,1.9806795485719229,4.460046896808189
CHN,northern_provinces,0,bioepi_sgq_lstm_no_digital,1,364.0,0.21424974504101152,0.34088278398587946,0.6140235666319264,0.9260858674333037,0.9464034863415806,0.46703296703296704,0.8021978021978022,0.9395604395604396,0.383299147843708,0.8624218198252732,1.904377723836571
CHN,northern_provinces,0,bioepi_sgq_lstm_no_digital,2,364.0,0.3312616833278701,0.5181187924578111,0.9355019372756268,0.8222009441622501,0.8839529816522603,0.510989010989011,0.7307692307692307,0.9395604395604396,0.6209970210382166,1.0785563363850172,3.3985660960609225
CHN,northern_provinces,0,bioepi_sgq_lstm_no_digital,3,364.0,0.4345617243482916,0.6632769602452774,1.1726949326944938,0.7201957678939451,0.8317314290623451,0.4807692307692308,0.7197802197802198,0.9120879120879121,0.7253431621259824,1.3396929824565327,4.295137203986662
CHN,northern_provinces,0,bioepi_sgq_lstm_no_digital,4,364.0,0.5122454646624336,0.7810193332540787,1.3402703105311635,0.6284353829741156,0.770615767994717,0.42032967032967034,0.7307692307692307,0.8928571428571429,0.8163680002793848,1.6990786651267982,4.265090531652981
CHN,northern_provinces,0,persistence,1,364.0,0.23871329847934705,0.350597308081752,0.6368133264249646,0.9216611446622135,0.9434937529016121,0.5054945054945055,0.7967032967032966,0.9560439560439561,0.3512727516779882,0.8635742825114885,3.477150015461988
CHN,northern_provinces,0,persistence,2,364.0,0.3731816026379904,0.5463881605284869,0.9999745933435702,0.8071120476680005,0.8770058254231504,0.5054945054945055,0.7967032967032966,0.9340659340659341,0.5413645319294519,1.329532266109091,4.614523880748474
CHN,northern_provinces,0,persistence,3,364.0,0.4911479405752119,0.7224784603567781,1.2865954210961421,0.6842583942136302,0.8098508078076178,0.5357142857142857,0.7884615384615384,0.9340659340659341,0.7039814533405535,1.7790418368005267,5.42661834365511
CHN,northern_provinces,0,persistence,4,364.0,0.5825723653568217,0.8647771044803133,1.495151553773921,0.5738899186301473,0.7362814363277299,0.49725274725274726,0.7884615384615384,0.9203296703296703,0.8533794747453154,2.1369444710119647,5.700307978957642
CHN,southern_provinces,0,bioepi_safe_lstm_common_scale,1,364.0,0.30614068847461073,0.4914771928518205,0.8248059957889875,0.9059726481893895,0.9202553730166416,0.46703296703296704,0.7335164835164835,0.9203296703296703,0.5258998431372003,1.1319313989184054,2.447962994698236
CHN,southern_provinces,0,bioepi_safe_lstm_common_scale,2,364.0,0.47553097252945675,0.7422042304837144,1.2285820342826328,0.7856345350577709,0.8248098456862375,0.49725274725274726,0.7362637362637363,0.9230769230769231,0.8956813482818077,1.7533231632995065,5.257950155639661
CHN,southern_provinces,0,bioepi_safe_lstm_common_scale,3,364.0,0.6085397166764672,0.9317327830773009,1.5834073907005837,0.6493552989169161,0.7473263798558611,0.5274725274725275,0.771978021978022,0.9093406593406593,1.181355069121411,2.3265106880735598,6.741323220611191
CHN,southern_provinces,0,bioepi_safe_lstm_common_scale,4,364.0,0.699235927899357,1.05240819285064,1.779408561493793,0.5384974560724874,0.6653346393175466,0.5659340659340659,0.7967032967032966,0.8928571428571429,1.4631359419502254,3.1436558274122715,6.9184843116089585
CHN,southern_provinces,0,bioepi_sgq_lstm_no_digital,1,364.0,0.30460017601037587,0.4723301707646869,0.8357088727115726,0.9050929502259658,0.9196845389879635,0.46153846153846156,0.75,0.9175824175824175,0.5039971549238553,1.1066705165179085,2.314753605866643
CHN,southern_provinces,0,bioepi_sgq_lstm_no_digital,2,364.0,0.47827471906340474,0.7357046956479613,1.2798886341241094,0.7728939777257539,0.830520422671422,0.5164835164835165,0.7472527472527473,0.9258241758241759,0.8824328838493103,1.701696103356041,5.2353421048225846
CHN,southern_provinces,0,bioepi_sgq_lstm_no_digital,3,364.0,0.6112160685586533,0.9275047086361528,1.6173156823785184,0.6474263548311037,0.7546703313329232,0.49725274725274726,0.771978021978022,0.9093406593406593,1.1423369054739505,2.4161148899796903,6.678593856573226
CHN,southern_provinces,0,bioepi_sgq_lstm_no_digital,4,364.0,0.7169153452239607,1.0818431134945115,1.8516778729839911,0.5337561542145737,0.6668708405512096,0.5302197802197802,0.8021978021978022,0.8983516483516484,1.3856937744526248,3.232276688379801,6.772414897790788
CHN,southern_provinces,0,persistence,1,364.0,0.32798526625012264,0.4953138944288264,0.8603821589360985,0.9016015903470435,0.916034939242437,0.5164835164835165,0.7445054945054945,0.9368131868131868,0.5773621204070895,1.1701238630063915,4.817989020421493
CHN,southern_provinces,0,persistence,2,364.0,0.5232169983065903,0.7767316326873557,1.3302451985071753,0.7661484016712478,0.8151819316840409,0.5027472527472527,0.7582417582417582,0.9038461538461539,0.88492589828752,1.7856183507898882,6.418346262770733
CHN,southern_provinces,0,persistence,3,364.0,0.6661013331794103,0.9994862386670117,1.717642297393244,0.6220777982133577,0.712984966206259,0.510989010989011,0.782967032967033,0.9148351648351648,1.1780091476777526,2.8365779868474537,7.103225032300036
CHN,southern_provinces,0,persistence,4,364.0,0.7811711308357002,1.179694480512458,1.9771988307890696,0.4992999617226862,0.6056112031197345,0.46153846153846156,0.7939560439560439,0.9120879120879121,1.2271861638504162,3.5782747497334544,7.537764703284479
USA,hhs1,0,bioepi_safe_lstm_common_scale,1,370.0,0.1312059791589169,0.20166102111647236,0.3888828926681564,0.9711477085931353,0.9818426802320038,0.6297297297297297,0.8513513513513513,0.9459459459459459,0.3520078211350009,0.7264697964136927,1.364240152771455
USA,hhs1,0,bioepi_safe_lstm_common_scale,2,370.0,0.2219338768324813,0.33564524348783265,0.6546777440379951,0.9166490572339274,0.9422215193959326,0.5756756756756757,0.8,0.918918918918919,0.39053579506422187,1.0243435288715532,1.9511325653596063
USA,hhs1,0,bioepi_safe_lstm_common_scale,3,370.0,0.30501405224993117,0.44398830384519156,0.8479449584525367,0.8573979916467467,0.8881305077347414,0.5594594594594594,0.7675675675675676,0.8783783783783784,0.48336151405415595,1.2925064963110924,2.2152259684509485
USA,hhs1,0,bioepi_safe_lstm_common_scale,4,370.0,0.3531021325720768,0.513089809444896,0.9555145696187066,0.815239133690371,0.8576189232424852,0.572972972972973,0.7783783783783784,0.8621621621621621,0.5776544115088689,1.5536432588252904,2.284844274106179
USA,hhs1,0,bioepi_sgq_lstm_no_digital,1,370.0,0.13050911170848203,0.20077996206709411,0.38882862455456446,0.9711600626012863,0.9817654483093967,0.6486486486486487,0.8594594594594595,0.9513513513513514,0.35641632340434165,0.7218983357957832,1.3601438126229144
USA,hhs1,0,bioepi_sgq_lstm_no_digital,2,370.0,0.2196665810301897,0.33344513485437427,0.6529735987542207,0.9170945527732095,0.9444439508866568,0.5783783783783784,0.8108108108108109,0.9243243243243243,0.39864048400576874,1.0304559205510557,1.9791470724236015
USA,hhs1,0,bioepi_sgq_lstm_no_digital,3,370.0,0.29553186233331347,0.427550729928135,0.8279396730685548,0.8645222831585441,0.9032558822710687,0.5621621621621622,0.772972972972973,0.8729729729729729,0.47361541670983787,1.2821176086292476,2.1621321442673227
USA,hhs1,0,bioepi_sgq_lstm_no_digital,4,370.0,0.350643689638273,0.5108508862008433,0.9510713116084901,0.8171993381584948,0.8570505815788836,0.5783783783783784,0.7837837837837838,0.8648648648648649,0.5735784260174339,1.5520211497844363,2.281797176444458
USA,hhs1,0,persistence,1,370.0,0.1677494421007118,0.2347189645092392,0.4407907239651695,0.9634296714461476,0.9806998373036109,0.5837837837837838,0.8081081081081081,0.9459459459459459,0.29275453863654854,0.8790801970329679,1.8852767574082525
USA,hhs1,0,persistence,2,370.0,0.28868491600819446,0.4054434070508026,0.7708113446804294,0.8885303581169685,0.9446810955324532,0.5486486486486486,0.7918918918918919,0.9081081081081082,0.38854263664374916,1.1686438491997602,2.767271782690693
USA,hhs1,0,persistence,3,370.0,0.39527584877449395,0.5599966872735337,1.023370820545383,0.8041430295226049,0.894329909424249,0.5297297297297298,0.7810810810810811,0.9135135135135135,0.49404657020353787,1.5830917954659987,3.1659060961987002
USA,hhs1,0,persistence,4,370.0,0.47882727789714064,0.6854550305352426,1.2155895229156466,0.7233111912016822,0.8318445458804409,0.5378378378378378,0.7648648648648648,0.9027027027027027,0.6481962445856092,1.8411681761126282,3.5533440102341993
USA,hhs10,0,bioepi_safe_lstm_common_scale,1,370.0,0.14765625161659243,0.2264251138743314,0.43789637959029915,0.9602478146018361,0.9687137272042932,0.5324324324324324,0.8351351351351352,0.9162162162162162,0.27609849322575125,0.7398029924463895,1.6994795684618653
USA,hhs10,0,bioepi_safe_lstm_common_scale,2,370.0,0.2637768452637194,0.3740516433337055,0.7322096816109618,0.886120804168521,0.930113875626991,0.5756756756756757,0.8405405405405405,0.918918918918919,0.4560264051636945,1.3473943234627548,2.704472165194877
USA,hhs10,0,bioepi_safe_lstm_common_scale,3,370.0,0.34106521049961663,0.4827946108472294,0.9324267573049335,0.8120391995315858,0.8864688368600011,0.5675675675675675,0.8108108108108109,0.9108108108108108,0.5319638067197364,1.5924873230694772,3.786629652627933
USA,hhs10,0,bioepi_safe_lstm_common_scale,4,370.0,0.40648564162979267,0.5630935489744558,1.0652666513465445,0.7511264759509567,0.844035818080917,0.6027027027027027,0.8108108108108109,0.9027027027027027,0.6508460976913135,2.112978391391122,4.292237653943655
USA,hhs10,0,bioepi_sgq_lstm_no_digital,1,370.0,0.147469163428224,0.2271687509843093,0.43759413903723854,0.960329712776199,0.968379687293631,0.518918918918919,0.8378378378378378,0.918918918918919,0.27762573846717375,0.7364487763731697,1.697916953404003
USA,hhs10,0,bioepi_sgq_lstm_no_digital,2,370.0,0.26326795753140225,0.37442457785805205,0.7304387446194538,0.8873024939959855,0.9302202472013793,0.5351351351351351,0.8081081081081081,0.9027027027027027,0.4224865213432944,1.3171142141658443,2.484521771668781
USA,hhs10,0,bioepi_sgq_lstm_no_digital,3,370.0,0.3477856043816222,0.4892025285428577,0.950206634019411,0.8063303131210665,0.8905178270111541,0.4837837837837838,0.7675675675675676,0.8891891891891892,0.46028362508051535,1.4745224629840918,3.356443228925555
USA,hhs10,0,bioepi_sgq_lstm_no_digital,4,370.0,0.4259803160198321,0.5780500854460302,1.1066598188725958,0.7339249119766876,0.8481286361636109,0.5297297297297298,0.772972972972973,0.8837837837837837,0.580344859043359,1.982024274008278,3.8532046694896827
USA,hhs10,0,persistence,1,370.0,0.18503348314728368,0.24576866394102698,0.4701010355151058,0.9549357709879192,0.9701039018112189,0.5567567567567567,0.8189189189189189,0.9459459459459459,0.2443503982978042,0.9588590298002716,2.4634919494438723
USA,hhs10,0,persistence,2,370.0,0.32272641618571285,0.4196859283416258,0.8083696212892245,0.8674082933762612,0.9312740128202622,0.5918918918918918,0.8135135135135135,0.9378378378378378,0.4154697943234788,1.6807294921308606,3.611830587463748
USA,hhs10,0,persistence,3,370.0,0.4308246124973729,0.5751189190408363,1.0740036903891474,0.7680035066554434,0.8799235498729288,0.5675675675675675,0.8027027027027027,0.918918918918919,0.5262359964883208,2.1526517826770464,4.3790835986713
USA,hhs10,0,persistence,4,370.0,0.51525900172979,0.7055672680600114,1.2836976646194656,0.6713207901704142,0.8205049569982841,0.5783783783783784,0.8054054054054054,0.918918918918919,0.6830386204840236,2.4950107301107067,4.840261440045501
USA,hhs2,0,bioepi_safe_lstm_common_scale,1,370.0,0.12232254304079825,0.19638493767593634,0.3705806569198248,0.9581287215373008,0.9698269566654288,0.5054054054054054,0.8,0.9378378378378378,0.25112455033449216,0.568681447891923,1.1092643809021017
USA,hhs2,0,bioepi_safe_lstm_common_scale,2,370.0,0.21278294769271502,0.32590231537981884,0.6315433897268352,0.873650011359929,0.9147755210341497,0.5297297297297298,0.7648648648648648,0.9054054054054054,0.3869234880873622,0.9022657053384057,1.5997165361308485
USA,hhs2,0,bioepi_safe_lstm_common_scale,3,370.0,0.2888285486286763,0.42127514410474015,0.8277992790100723,0.776529445318039,0.8591571651856972,0.5567567567567567,0.7891891891891892,0.8783783783783784,0.5019767662056931,1.1698602301290408,2.009286335187084
USA,hhs2,0,bioepi_safe_lstm_common_scale,4,370.0,0.3492197708429043,0.48513921097116186,0.9734513074024119,0.6895524532018681,0.8095510539136862,0.6027027027027027,0.7837837837837838,0.8621621621621621,0.6394837811980123,1.3595976875277331,2.1367892634004795
USA,hhs2,0,bioepi_sgq_lstm_no_digital,1,370.0,0.12281735428413319,0.1952139976112762,0.36906079885300946,0.9583521987282175,0.9710574554569031,0.4972972972972973,0.7891891891891892,0.9405405405405406,0.2578182013686182,0.5744573367078853,1.1104726041796271
