model_A,model_B,comparison,country_filter,official_delay_weeks,horizon,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs,denominator_WIS,WIS_reduction_pct,ci_low_reduction_pct,ci_high_reduction_pct,reduction_denominator
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,1,4,-0.02442545993930026,-0.03136476167817663,-0.018858485509434194,1.0,1104,0.1926208034379923,12.680592907589654,9.790471835252749,16.283164184949236,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,1,8,-0.02442545993930026,-0.02448436764370946,-0.015875945605853377,1.0,1104,0.1926208034379923,12.680592907589654,8.242072155494926,12.71117512059977,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,1,13,-0.02442545993930026,-0.033048322401975784,-0.014934607145680484,1.0,1104,0.1926208034379923,12.680592907589654,7.753371847235687,17.157192687452664,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,2,4,-0.046992779121931276,-0.05926256878897424,-0.03767938594742326,1.0,1104,0.31302449314212677,15.012492680754699,12.037200529964656,18.932246545341886,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,2,8,-0.046992779121931276,-0.06684984884296466,-0.03083236821470237,1.0,1104,0.31302449314212677,15.012492680754699,9.849826096740337,21.35610800673413,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,2,13,-0.046992779121931276,-0.05193322584671922,-0.025295724208878694,1.0,1104,0.31302449314212677,15.012492680754699,8.081068658545302,16.590786658710208,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,3,4,-0.058606526433546115,-0.08186609854694522,-0.04104221766870625,1.0,1104,0.4052908609469197,14.460362194355456,10.126608227191554,20.199344825016198,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,3,8,-0.058606526433546115,-0.06382196073197742,-0.04529970452778109,1.0,1104,0.4052908609469197,14.460362194355456,11.17708512398801,15.747199574859419,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,3,13,-0.058606526433546115,-0.07284380944837703,-0.03315527279590682,1.0,1104,0.4052908609469197,14.460362194355456,8.180611997626345,17.973217870786698,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,4,4,-0.07124073393825088,-0.0886476432575716,-0.037545358415045145,1.0,1104,0.4863732322864782,14.64733854767103,7.719454098767218,18.226258636979708,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,4,8,-0.07124073393825088,-0.10354306561348002,-0.04054553818434671,1.0,1104,0.4863732322864782,14.64733854767103,8.336301320230762,21.28880841709073,persistence
bioepi_safe_lstm_common_scale,persistence,SAFE-LSTM vs Persistence,all,0,4,13,-0.07124073393825088,-0.08112068238583636,-0.05534458829294431,1.0,1104,0.4863732322864782,14.64733854767103,11.379036636692591,16.678689738841456,persistence
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,1,4,-0.0011564199200873903,-0.004702578422723199,0.004536182449554456,0.4,1104,0.16586698822958257,0.6971971532314478,-2.734831383853042,2.8351503050228346,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,1,8,-0.0011564199200873903,-0.0045051454992823875,0.004527353090904654,0.3,1104,0.16586698822958257,0.6971971532314478,-2.729508227784409,2.7161194324253666,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,1,13,-0.0011564199200873903,-0.004962938359644228,-0.0012947925682137444,1.0,1104,0.16586698822958257,0.6971971532314478,0.780621015690943,2.9921194160557394,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,2,4,-0.00745184874358637,-0.023427952819953742,-0.003441464125194819,1.0,1104,0.26632561790839654,2.798021760771604,1.292201686124885,8.796732737896756,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,2,8,-0.00745184874358637,-0.02173212202025705,0.00022811549443276316,0.9,1104,0.26632561790839654,2.798021760771604,-0.08565285466125311,8.15998182635659,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,2,13,-0.00745184874358637,-0.014640212799301212,6.016293060543062e-05,0.9,1104,0.26632561790839654,2.798021760771604,-0.022589990057255337,5.497110234561346,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,3,4,-0.009492288981911843,-0.01349965259104992,-0.003034513332456731,1.0,1104,0.347904736605743,2.7284161390044006,0.872225357453394,3.8802727214226365,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,3,8,-0.009492288981911843,-0.016260474235775237,-0.00264668142801714,1.0,1104,0.347904736605743,2.7284161390044006,0.7607488917336719,4.673829507013047,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,3,13,-0.009492288981911843,-0.019398694751651947,0.003780484114770133,0.8,1104,0.347904736605743,2.7284161390044006,-1.0866434736283286,5.575863939338998,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,4,4,-0.0065180596842327534,-0.021143529542384392,0.0044164020184934245,0.9,1104,0.41178960647380686,1.5828616317073934,-1.0724899193817665,5.134546673831432,surveillance
