evaluation,official_delay_weeks,model,horizon,country,region,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,northern_provinces,62.0,0.1704861364374574,0.27865194918311,0.4485077461461275,0.942353042416614,0.8318168656490975,0.6290322580645161,0.8709677419354839,0.967741935483871,0.4676135175453585,1.0905689148062048,1.8886215895466945
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,southern_provinces,62.0,0.1592311287713914,0.2689194706232082,0.3978943222049733,0.9437381141686186,0.8261217996579507,0.6612903225806451,0.9193548387096774,0.9838709677419356,0.5356186714584023,1.1208032875875966,1.8590807302228085
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs1,67.0,0.2022098411891996,0.3221341522531074,0.5918659681462861,0.9539080556847268,0.9846356453028976,0.4328358208955223,0.6865671641791045,0.9104477611940298,0.281533051130156,0.5432562712574242,1.055779328819799
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs10,67.0,0.1457290845927457,0.2446114422907019,0.4170750628069185,0.9662250197662604,0.9857131455024344,0.4776119402985074,0.746268656716418,0.9104477611940298,0.2665896187911727,0.5489801295282347,1.0985937462452409
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs2,67.0,0.14783646029215,0.2508598799323867,0.4456683883596749,0.9566962878833352,0.979128422060819,0.4328358208955223,0.7164179104477612,0.8955223880597015,0.2551380065654418,0.5072121347080609,0.9470308908150044
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs3,67.0,0.1161015760113125,0.1956687292636146,0.3399802843286413,0.9591762988965108,0.9824806449038233,0.4925373134328358,0.7164179104477612,0.9253731343283582,0.2300803433668082,0.4543819168905364,0.8854831602457198
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs4,67.0,0.1288289856987907,0.2215990478580863,0.3884755219550694,0.9509988227485296,0.9752574028254452,0.4925373134328358,0.7611940298507462,0.9253731343283582,0.2626139450189182,0.4970189504312192,0.9704647544980128
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs5,67.0,0.1794262355905553,0.3010314087005843,0.5156905569709718,0.9560665298584172,0.9824407374890256,0.4328358208955223,0.6567164179104478,0.8656716417910447,0.2751278647388429,0.511680584340426,1.025879111273715
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs6,67.0,0.127094126257727,0.2298109458032284,0.3548357291761512,0.926479510246487,0.9548248064490384,0.5522388059701493,0.7164179104477612,0.9253731343283582,0.2799998729470777,0.5445754962836558,0.9369883819313316
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs7,67.0,0.1395327318524065,0.22352497331533,0.4124799616683232,0.9476351518456296,0.9750578657514568,0.582089552238806,0.7910447761194029,0.9402985074626866,0.2365397197758134,0.482918226700817,0.998009492218618
