horizon_weeks,SAFE_LSTM_WIS,no_digital_LSTM_WIS,static_full_digital_LSTM_WIS,persistence_WIS,gradient_boosting_WIS,SAFE_improvement_vs_no_digital_percent,SAFE_improvement_vs_static_full_digital_percent,SAFE_improvement_vs_persistence_percent,SAFE_Pearson,SAFE_Spearman,SAFE_coverage_50,SAFE_coverage_80,SAFE_coverage_95
1,0.1520633708225497,0.1576609375280318,0.1671918855856764,0.2057367458538378,0.2395790965037611,3.55038273477657,9.048593901630591,26.08837561250213,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593004
2,0.2345129085064663,0.2449275834253901,0.26429240196115,0.3407671945119532,0.2996482632940082,4.25214456178077,11.267631318081241,31.180902304185793,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547744
3,0.313959649282791,0.3295329960320698,0.3407834798345565,0.4521127247976261,0.4102954083266562,4.72588388319184,7.871223852983685,30.557219015827286,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088428
4,0.3673997650268127,0.385518679557791,0.4107922448654237,0.5405475717748068,0.4588263589256018,4.699879796164895,10.563120502147369,32.03192758400325,0.6608659996756171,0.8229440211638345,0.5276841598459316,0.6921039961482909,0.9374899695073022
