evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0181189145309782,-0.0510339647056089,0.0059852326662501,0.9295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0181189145309782,-0.0502220422349993,0.0124425610098847,0.8295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.043392479838611,-0.085878560479324,-0.0078791654578611,0.994,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.043392479838611,-0.0917716827313459,-0.0055961221547047,0.988,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.043392479838611,-0.091443679970776,-0.0041031207801195,0.985,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,4,-0.173147806747994,-0.2588993095090059,-0.1041280035233755,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,8,-0.173147806747994,-0.2777468289322931,-0.0871305398393221,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,13,-0.173147806747994,-0.2835598273435396,-0.0758960867208062,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0914265938987892,-0.1842219532363791,0.0002608110848331,0.9745,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0914265938987892,-0.1704212060054482,0.0161008485621673,0.938,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0914265938987892,-0.1488173861100463,0.0258582450592058,0.8665,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0155115532591436,-0.0325902558415137,-0.0027974544374406,0.991,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0155115532591436,-0.0344546843737601,-0.0015842582615702,0.9855,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0155115532591436,-0.0331482222516524,0.0009684384076856,0.965,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.0182183794499765,-0.0445661405570536,0.00712461104169,0.9095,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0182183794499765,-0.0466441522541596,0.0078012232968673,0.903,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.0182183794499765,-0.0473025574137788,0.0090169224132337,0.8955,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,4,-0.1040166936055145,-0.1585301653175489,-0.0529367951056133,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,8,-0.1040166936055145,-0.170922625004817,-0.0445977536736513,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,13,-0.1040166936055145,-0.1784465643063209,-0.0409537749925139,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0528007462245997,-0.1391865590118434,0.013538938774226,0.9295,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0528007462245997,-0.1009522769301533,0.0097780369268402,0.929,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0528007462245997,-0.0788827661225179,0.0108080723250792,0.9,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0160942787084441,-0.0339202684365015,-0.0009253054441952,0.982,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0160942787084441,-0.0359684090002215,-0.0012476424125099,0.9845,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0160942787084441,-0.0353053783951101,0.0024293839924676,0.95,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.0232030744015273,-0.0701117343760627,0.0184932315353079,0.8615,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0232030744015273,-0.0778793620454701,0.0194270573696524,0.857,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.0232030744015273,-0.08281047164604,0.0161260012771838,0.8805,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,4,-0.1414441256629415,-0.2296194470096588,-0.0704610675400634,1.0,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,8,-0.1414441256629415,-0.2495107090446025,-0.0568362358684168,1.0,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,13,-0.1414441256629415,-0.2610735272489576,-0.050305750714038,0.9995,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0446358607861936,-0.1259175192197974,0.033923110680889,0.8335,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0446358607861936,-0.0966068783030803,0.0341235764603562,0.78,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0446358607861936,-0.081803002975607,0.0338175779472178,0.7475,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.022808966868798,-0.0470812496025485,-0.0014015153396942,0.9805,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.022808966868798,-0.050406901692109,0.0029130060547928,0.9595,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.022808966868798,-0.0516366934875998,0.0097373929077147,0.9045,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.0211385146954653,-0.0778026672494719,0.0350643273142305,0.785,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0211385146954653,-0.0943419688041897,0.0335612193062881,0.7865,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.0211385146954653,-0.1041529808431542,0.0307167226607739,0.829,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,4,-0.178941613429907,-0.2806308330608263,-0.0902182405751672,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,8,-0.178941613429907,-0.3146134538053506,-0.075433296175045,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,13,-0.178941613429907,-0.3329443966870744,-0.0607716112330024,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0289958548972113,-0.1217075552470633,0.0541649854573454,0.762,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0289958548972113,-0.0962490187356137,0.0546829920971905,0.714,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0289958548972113,-0.1002741111471657,0.0563641777534072,0.7145,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0243420381234792,-0.0583760164921078,0.0065498568891033,0.9375,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0243420381234792,-0.0647111066372823,0.0094676144796593,0.927,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0243420381234792,-0.0675700893025293,0.0155530509843995,0.8465,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.0401762620471163,-0.1114579995930072,0.0191519743191798,0.91,196
