horizon_weeks,SAFE_LSTM_WIS,no_digital_LSTM_WIS,static_full_digital_LSTM_WIS,persistence_WIS,gradient_boosting_WIS,SAFE_improvement_vs_no_digital_percent,SAFE_improvement_vs_static_full_digital_percent,SAFE_improvement_vs_persistence_percent,SAFE_Pearson,SAFE_Spearman,SAFE_coverage_50,SAFE_coverage_80,SAFE_coverage_95
1,0.1418948884548438,0.150663099675348,0.1518783381039952,0.1790944911080974,0.3233987336885032,5.819746998036096,6.573320312680448,20.77093629351265,0.9466550249471174,0.96148096379271,0.5676567656765676,0.8646864686468647,0.943894389438944
2,0.2597220922377908,0.2686212159401793,0.274834943613436,0.3002025920715536,0.4103004066642537,3.31288936774461,5.498882775583995,13.484393840315084,0.8602861960440737,0.9129704123662123,0.537953795379538,0.7491749174917492,0.9141914191419142
3,0.3546106766931992,0.3697559679306395,0.3658932060940776,0.3961915953203743,0.4314220272675468,4.096023472508581,3.0835580472564144,10.495154142164813,0.745208996141559,0.8595560120431204,0.5544554455445545,0.7821782178217821,0.8877887788778879
4,0.4382953975440125,0.4587010726875878,0.4773420743863499,0.4907845809437444,0.4845078285870234,4.448578030135375,8.180019934872517,10.694953639089249,0.6326310786056843,0.8002795629766645,0.594059405940594,0.8184818481848185,0.9009900990099008
