evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.15206337082254975,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593003,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.2345129085064663,0.38464752437208144,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547745,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088429,0.6306936161009734,1.0736626119757549,2.9311807178184073,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.36739976502681276,0.5952841946431661,0.9696442038798576,0.6608659996756171,0.8229440211638345,0.5276841598459316,0.6921039961482909,0.9374899695073022,0.7054755589676324,1.2144419365804213,3.6629807530689913,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,0.1671918855856764,0.2668745986378582,0.4683148672921449,0.9310682202527123,0.9133482921518988,0.4317124057133686,0.7149735194992778,0.9096453217782058,0.2757377148272499,0.6000383024545785,1.1729795247890455,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,0.26429240196115006,0.44773013108865206,0.7167005249442234,0.8431176880885447,0.8512179262255687,0.4275397207510833,0.7177820574546622,0.8881399454341197,0.44865409167982423,0.987038545829854,1.6549231779359894,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,0.34078347983455654,0.5518895862329175,0.9034946570460954,0.7202808385470054,0.820263846705512,0.3992938533140748,0.6929064355641149,0.8869362863103835,0.5640743295859324,1.096351915203612,2.726418844889073,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,0.41079224486542376,0.6436376941939613,1.0445110036210397,0.6041782641783471,0.7963844173898337,0.43371850425292885,0.6925052158562028,0.9420638741774997,0.6600251385911126,1.2836014873239017,4.0422146913905825,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,0.15766093752803184,0.2575032220027425,0.46404709095648305,0.9325886747419885,0.9183076469287582,0.5736639383726528,0.8284384528968062,0.9394960680468625,0.3423348085820724,0.6664033012572377,1.209635221461568,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,0.24492758342539014,0.4083271370752553,0.6758241834959736,0.8579436284009475,0.8312404731014209,0.5388380677258867,0.7522067083935163,0.9249719146204461,0.55526066921033,0.877208010618039,1.8398512855206046,196.0,3
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,0.3295329960320698,0.5461179643557985,0.8768473976000678,0.7501999171370416,0.8266555956481328,0.5263200128390306,0.6875300914780934,0.8877387257262077,0.6517296006079761,1.089469814128528,2.7160453480648212,196.0,3
