evaluation,official_delay_weeks,model,horizon,WIS,activity
temporal_external_2025_2026,0,seasonal_naive,3,0.4765842428670524,all
temporal_external_2025_2026,0,seasonal_naive,4,0.4756799038535384,all
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,1,0.2510306368618296,all
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,2,0.3227161955226963,all
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,3,0.3734855741118708,all
temporal_external_2025_2026,1,bioepi_safe_lstm_common_scale,4,0.4171100216096562,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,1,0.2692490163118061,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,2,0.34591926992422367,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,3,0.39462408880733624,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_full_raw,4,0.4572862836567726,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,1,0.26654219012097324,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,2,0.33881047423114047,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,3,0.39629454098066885,all
temporal_external_2025_2026,1,bioepi_sgq_lstm_no_digital,4,0.4414520597331355,all
temporal_external_2025_2026,1,gb_full_raw,1,0.3038313830864294,all
temporal_external_2025_2026,1,gb_full_raw,2,0.3673520563088899,all
temporal_external_2025_2026,1,gb_full_raw,3,0.4024814290090821,all
temporal_external_2025_2026,1,gb_full_raw,4,0.43997643544016735,all
temporal_external_2025_2026,1,persistence,1,0.35504733046734405,all
temporal_external_2025_2026,1,persistence,2,0.4641603211856378,all
temporal_external_2025_2026,1,persistence,3,0.5524271875417778,all
temporal_external_2025_2026,1,persistence,4,0.6228483672179549,all
temporal_external_2025_2026,1,ridge_global_open,1,0.3684207262434447,all
temporal_external_2025_2026,1,ridge_global_open,2,0.5123364512409594,all
temporal_external_2025_2026,1,ridge_global_open,3,0.5899317410473969,all
temporal_external_2025_2026,1,ridge_global_open,4,0.5924723078794066,all
temporal_external_2025_2026,1,ridge_google_wiki,1,0.34884683664224353,all
temporal_external_2025_2026,1,ridge_google_wiki,2,0.44072340511821406,all
temporal_external_2025_2026,1,ridge_google_wiki,3,0.46936564409866843,all
temporal_external_2025_2026,1,ridge_google_wiki,4,0.47679947082205776,all
temporal_external_2025_2026,1,ridge_no_digital,1,0.32058132830998104,all
temporal_external_2025_2026,1,ridge_no_digital,2,0.40002460777734994,all
temporal_external_2025_2026,1,ridge_no_digital,3,0.44496056456921407,all
temporal_external_2025_2026,1,ridge_no_digital,4,0.4562749652132843,all
temporal_external_2025_2026,1,ridge_raw_cn_search,1,0.283761318016534,all
temporal_external_2025_2026,1,ridge_raw_cn_search,2,0.350725137405905,all
temporal_external_2025_2026,1,ridge_raw_cn_search,3,0.3997113519001034,all
temporal_external_2025_2026,1,ridge_raw_cn_search,4,0.4208749460284638,all
temporal_external_2025_2026,1,ridge_social_raw,1,0.35484463935732036,all
temporal_external_2025_2026,1,ridge_social_raw,2,0.4810354173020847,all
temporal_external_2025_2026,1,ridge_social_raw,3,0.592833825273584,all
temporal_external_2025_2026,1,ridge_social_raw,4,0.6145039121404375,all
temporal_external_2025_2026,1,seasonal_naive,1,0.489735540345085,all
temporal_external_2025_2026,1,seasonal_naive,2,0.48255454386652435,all
temporal_external_2025_2026,1,seasonal_naive,3,0.4790706342754662,all
temporal_external_2025_2026,1,seasonal_naive,4,0.4799070215070998,all
