evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,0.1794987544098968,0.2849017734755651,0.4888941540993177,0.9341987160330439,0.9453957690918788,0.5693069306930694,0.8722772277227723,0.9603960396039604,0.3560627469632206,0.9596778065995176,2.084503179970639,1212.0,2
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,0.3014594832035522,0.4537454341946161,0.7725396363661119,0.834384381334969,0.877749401969319,0.5886138613861386,0.8569306930693069,0.9925742574257426,0.5618572690737134,1.505322848873222,6.109873329737425,1212.0,2
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,0.3838172777728201,0.5605067816032014,0.9651561860906298,0.7327940796087795,0.8081576330021882,0.6133663366336634,0.9014851485148514,0.995049504950495,0.7541938864910037,2.2521183833441736,8.177968882059197,1212.0,2
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,0.4452190016175148,0.64125179773953,1.102012689619502,0.6469382469401584,0.7326808738250867,0.6376237623762376,0.9212871287128712,0.995049504950495,0.9509618910244055,3.1631426653444747,8.176787555073323,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,0.18579065511824766,0.28577864979155343,0.48077679421649466,0.937578929073249,0.9423530217360236,0.4866336633663366,0.8198019801980199,0.945049504950495,0.29826466104987037,0.8061442525591919,1.7376269291573254,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,2,0.30551017480764986,0.44588984320585157,0.7871306718341599,0.8330873935162879,0.8785913928558774,0.5341584158415842,0.8222772277227722,0.9871287128712871,0.5179925140845749,1.3268962513636218,6.037551230128649,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,3,0.392802966326989,0.5619935440154589,0.9965560040195577,0.731222163766311,0.8121889277382741,0.550990099009901,0.8663366336633663,0.995049504950495,0.707375582674721,1.8883645342235393,8.040635483941285,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,4,0.4839945431550581,0.7201866728263424,1.221450871602997,0.6178131573820571,0.723855878629315,0.501980198019802,0.8772277227722772,0.9920792079207921,0.8198354257599358,3.0657478970058682,8.09001995219706,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,1,0.18661714356032644,0.28055192952577573,0.48803698835375126,0.936497022415322,0.9449948789413438,0.5603960396039604,0.8732673267326733,0.9356435643564356,0.34698204838899527,0.9222362309640433,1.8918486639295655,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,2,0.30786125534564784,0.45474542661852063,0.7961647237790552,0.8327184772529013,0.8814380491564524,0.602970297029703,0.8475247524752475,0.9876237623762376,0.5426287297072776,1.3919976189509562,5.991949179205992,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,3,0.3969782158880622,0.5761791201056788,1.0037100316727199,0.73250032428508,0.8101782129255772,0.5900990099009901,0.8866336633663366,0.9975247524752475,0.7063358903368953,2.297537750785842,8.202551163015816,1212.0,2
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,4,0.4719745878290874,0.67502805031407,1.1722506357674152,0.6430806984836709,0.7420984678349261,0.5881188118811882,0.9089108910891088,0.9925742574257426,0.8202729251727097,3.2383854935237615,8.184338645850751,1212.0,2
rolling_window_cv,0,gb_full_raw,1,0.36371314287498824,0.5819652977230949,0.7827710284632419,0.8637315677252924,0.9119905216942559,0.5455445544554456,0.9306930693069306,0.999009900990099,0.8301233007704043,2.861343111882964,6.7078009873757996,1212.0,2
rolling_window_cv,0,gb_full_raw,2,0.4952898019992903,0.858156816967489,1.0525326134857085,0.7321410899624274,0.8370591954586222,0.46732673267326735,0.9311881188118811,0.9955445544554455,0.9827243311581049,3.667198040123144,6.955488702613362,1212.0,2
rolling_window_cv,0,gb_full_raw,3,0.48494722563193643,0.8051354668902124,1.094437902751537,0.5989847748518242,0.677363047386722,0.5707920792079207,0.8871287128712871,0.999009900990099,1.2576673953899238,3.2261015511557827,8.09228292413501,1212.0,2
rolling_window_cv,0,gb_full_raw,4,0.5417062185700424,0.9060379914187952,1.2095953224802038,0.5074604861066194,0.7012684546961456,0.6702970297029703,0.941089108910891,0.9945544554455445,1.8406778094732519,4.244830126602259,8.412204980950165,1212.0,2
rolling_window_cv,0,persistence,1,0.2124336397449375,0.29189360741779147,0.5016598498289236,0.9336611325909674,0.9420581609916243,0.6,0.889108910891089,0.999009900990099,0.39138749453890875,1.260783540185068,5.43819399336707,1212.0,2
rolling_window_cv,0,persistence,2,0.3395118536657329,0.4700068715144819,0.8239055201499248,0.8195357834901533,0.8687816457525503,0.6128712871287129,0.8871287128712871,0.999009900990099,0.6342363414342188,1.9974158064277043,7.745865885117296,1212.0,2
rolling_window_cv,0,persistence,3,0.4374319397416725,0.6276163976775566,1.064161885526945,0.6979610521335176,0.7816878662299849,0.6331683168316832,0.9054455445544554,0.997029702970297,0.8475078644120658,3.0724440138449047,8.345977761710753,1212.0,2
