evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.15193761880479745,0.2539552771659393,0.4209937397583148,0.9507905637139862,0.9069749370318431,0.5710881078478575,0.8154910929224843,0.9505897929706307,0.38010655951965333,0.8059491985395503,1.429930806606205,794.0,2
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.2454392140795934,0.40673412046322244,0.6665275228887926,0.8744681372415845,0.856339360355288,0.5734833895040924,0.7635291285507944,0.9138661531054406,0.6211072263365858,1.1230919971680466,1.9252560768313736,794.0,2
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.31416977742342783,0.5148921905699098,0.8332445828728942,0.7918956438862204,0.8521153781596178,0.5706547905633125,0.7692103996148291,0.8822099181511796,0.8099961794805646,1.3348972794229252,2.308654759273862,794.0,2
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.3740308771542737,0.6320578685486111,0.9914606434056743,0.7014805802837425,0.814470553534338,0.5165864227250843,0.7553201733269139,0.8950409244102071,0.9196883895994317,1.5302813808160183,2.8566943703067667,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,0.1574721412734641,0.2588327704007487,0.4330524417577586,0.9467765114236637,0.9131115011012563,0.46253009147809343,0.7765286470871449,0.9431271064034665,0.3111670564229507,0.7284038159786246,1.3657747236152515,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,0.26532717628444746,0.44302460915756325,0.7075281167006273,0.8595919552775821,0.8503143300816493,0.47731102551757343,0.7226287915262397,0.8769860375541647,0.49947882639622126,1.0817407581578475,1.7221267956996296,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,0.33305274166112653,0.5351062967849045,0.8788833083580585,0.762366600690161,0.8478713333138538,0.5043572460279249,0.7175493500240732,0.8617597496389022,0.7254867058751776,1.2999179109881482,2.204083855266835,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,0.39338067854848946,0.6095346785115852,1.0155044186551354,0.6647924122297938,0.8384051152825122,0.4656836783822821,0.7339792970630717,0.8880235917188253,0.8131898098381165,1.4893439142160307,2.935674730169729,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,0.15160663861834509,0.25361723697357275,0.4180909094593456,0.9517441021026929,0.9077742310931343,0.5689937409725565,0.8196677900818488,0.9550674049109292,0.3920946327267325,0.8172611890299692,1.4314770688909428,794.0,2
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,0.24036501980860614,0.40076749604946116,0.6549610194693003,0.8800984227591634,0.8586990901569869,0.5914058738565239,0.7724843524313915,0.9264082811747714,0.6581812549684163,1.136542398233099,1.950261367216716,794.0,2
