evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.15206337082254975,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593003,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.2345129085064663,0.38464752437208144,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547745,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088429,0.6306936161009734,1.0736626119757549,2.9311807178184073,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.36739976502681276,0.5952841946431661,0.9696442038798576,0.6608659996756171,0.8229440211638345,0.5276841598459316,0.6921039961482909,0.9374899695073022,0.7054755589676324,1.2144419365804213,3.6629807530689913,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,1,0.15766093752803184,0.2575032220027425,0.46404709095648305,0.9325886747419885,0.9183076469287582,0.5736639383726528,0.8284384528968062,0.9394960680468625,0.3423348085820724,0.6664033012572377,1.209635221461568,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,2,0.24492758342539014,0.4083271370752553,0.6758241834959736,0.8579436284009475,0.8312404731014209,0.5388380677258867,0.7522067083935163,0.9249719146204461,0.55526066921033,0.877208010618039,1.8398512855206046,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,3,0.3295329960320698,0.5461179643557985,0.8768473976000678,0.7501999171370416,0.8266555956481328,0.5263200128390306,0.6875300914780934,0.8877387257262077,0.6517296006079761,1.089469814128528,2.7160453480648212,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,4,0.385518679557791,0.625211569747516,1.0036242164159357,0.6486652776907026,0.7712584243470938,0.5392392874337987,0.6676295939656556,0.9325148451291927,0.7505009317042272,1.1781541182079958,3.632181466802223,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,1,0.15206337082254975,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593003,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,2,0.2345129085064663,0.38464752437208144,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547745,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088429,0.6306936161009734,1.0736626119757549,2.9311807178184073,196.0,3
