evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.018118914530978244,-0.051033964705608933,0.0059852326662501384,0.9295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.018118914530978244,-0.0502220422349993,0.012442561009884725,0.8295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.04339247983861105,-0.08587856047932407,-0.007879165457861156,0.994,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.04339247983861105,-0.09177168273134592,-0.005596122154704769,0.988,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.04339247983861105,-0.09144367997077604,-0.004103120780119579,0.985,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,4,-0.17314780674799402,-0.2588993095090059,-0.10412800352337559,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,8,-0.17314780674799402,-0.27774682893229313,-0.08713053983932216,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,13,-0.17314780674799402,-0.2835598273435396,-0.07589608672080625,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0914265938987892,-0.18422195323637913,0.00026081108483314643,0.9745,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0914265938987892,-0.17042120600544824,0.01610084856216735,0.938,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0914265938987892,-0.1488173861100463,0.02585824505920582,0.8665,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.015511553259143676,-0.032590255841513725,-0.002797454437440674,0.991,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.015511553259143676,-0.03445468437376017,-0.0015842582615702735,0.9855,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.015511553259143676,-0.03314822225165243,0.0009684384076856772,0.965,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.018218379449976507,-0.044566140557053616,0.007124611041690025,0.9095,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.018218379449976507,-0.04664415225415965,0.007801223296867376,0.903,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.018218379449976507,-0.04730255741377889,0.009016922413233763,0.8955,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,4,-0.1040166936055145,-0.15853016531754896,-0.05293679510561336,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,8,-0.1040166936055145,-0.17092262500481703,-0.044597753673651354,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,13,-0.1040166936055145,-0.17844656430632092,-0.04095377499251397,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.052800746224599744,-0.13918655901184346,0.013538938774226052,0.9295,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.052800746224599744,-0.10095227693015335,0.009778036926840207,0.929,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.052800746224599744,-0.07888276612251795,0.01080807232507921,0.9,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.016094278708444196,-0.03392026843650153,-0.0009253054441952257,0.982,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.016094278708444196,-0.03596840900022158,-0.0012476424125099465,0.9845,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.016094278708444196,-0.035305378395110186,0.002429383992467638,0.95,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.023203074401527305,-0.07011173437606272,0.018493231535307915,0.8615,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.023203074401527305,-0.0778793620454701,0.019427057369652407,0.857,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.023203074401527305,-0.08281047164604004,0.01612600127718381,0.8805,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,4,-0.1414441256629415,-0.2296194470096588,-0.07046106754006345,1.0,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,8,-0.1414441256629415,-0.2495107090446025,-0.05683623586841684,1.0,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,persistence,13,-0.1414441256629415,-0.2610735272489576,-0.05030575071403803,0.9995,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.04463586078619362,-0.12591751921979744,0.03392311068088909,0.8335,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.04463586078619362,-0.09660687830308037,0.03412357646035627,0.78,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.04463586078619362,-0.081803002975607,0.033817577947217875,0.7475,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.022808966868798086,-0.04708124960254857,-0.0014015153396942132,0.9805,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.022808966868798086,-0.050406901692109034,0.0029130060547928553,0.9595,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.022808966868798086,-0.051636693487599805,0.00973739290771477,0.9045,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.02113851469546539,-0.07780266724947198,0.035064327314230544,0.785,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.02113851469546539,-0.09434196880418974,0.03356121930628814,0.7865,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.02113851469546539,-0.10415298084315427,0.030716722660773944,0.829,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,4,-0.17894161342990703,-0.2806308330608263,-0.09021824057516728,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,8,-0.17894161342990703,-0.3146134538053506,-0.07543329617504506,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,persistence,13,-0.17894161342990703,-0.33294439668707443,-0.06077161123300245,1.0,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.02899585489721133,-0.12170755524706334,0.05416498545734549,0.762,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.02899585489721133,-0.09624901873561376,0.05468299209719051,0.714,196
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.02899585489721133,-0.10027411114716578,0.05636417775340729,0.7145,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0243420381234792,-0.05837601649210781,0.006549856889103332,0.9375,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0243420381234792,-0.0647111066372823,0.00946761447965936,0.927,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0243420381234792,-0.06757008930252939,0.015553050984399555,0.8465,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.04017626204711632,-0.11145799959300727,0.01915197431917989,0.91,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.04017626204711632,-0.1243551283835965,0.028790366179989344,0.877,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.04017626204711632,-0.13297513062869948,0.0263323409463755,0.869,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,4,-0.20573834560829854,-0.32717514783316776,-0.1105318711669311,1.0,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,8,-0.20573834560829854,-0.3567218353609496,-0.08183161321052812,0.9995,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,13,-0.20573834560829854,-0.36677093478654466,-0.0707872228852346,1.0,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.022866413830511096,-0.11601261645515147,0.06205891987226922,0.7065,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.022866413830511096,-0.10701135065229038,0.06430184361225134,0.627,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.022866413830511096,-0.09197170033368664,0.07437708139629708,0.5455,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.02921585308417639,-0.056025175714214254,-0.00921268805847684,0.9985,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.02921585308417639,-0.06001734727273628,-0.004131535265763594,0.9945,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.02921585308417639,-0.0599160518532913,0.0008781870360147194,0.967,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.031502650130842955,-0.06059053417070374,-0.003142885310594867,0.9855,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.031502650130842955,-0.06019973097978392,0.002668066076902522,0.9635,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.031502650130842955,-0.059620832594262284,0.005020807162822207,0.9365,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,persistence,4,-0.16705457749961503,-0.25011720413718197,-0.08114652976920592,1.0,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,persistence,8,-0.16705457749961503,-0.26609676205902727,-0.0656825636721274,1.0,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,persistence,13,-0.16705457749961503,-0.2781883007699676,-0.06036754158994912,1.0,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.005462949441723407,-0.09454676839638838,0.07492041864681767,0.492,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.005462949441723407,-0.060333307761867815,0.0655054289342873,0.382,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.005462949441723407,-0.03650055964582088,0.06061993698137648,0.2555,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.02722013340547715,-0.05222565245771423,-0.007158328272292959,0.9945,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.02722013340547715,-0.0569043494320099,-0.002067600160627848,0.9845,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.02722013340547715,-0.057148145529313514,0.003179532361979871,0.9535,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.027406707054769802,-0.06234953884658815,0.010147398332228413,0.923,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.027406707054769802,-0.06535556786520501,0.0154730419379779,0.8825,196
