evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,8,-0.0014843058097467456,-0.0055675071435600815,0.0009065908073113572,0.6965,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,13,-0.0014843058097467456,-0.00359083839566066,0.0007371566639411214,0.5875,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,4,-0.0031366904112545275,-0.01100639562671375,0.004719339315931087,0.7945,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,8,-0.0031366904112545275,-0.012677351485289005,0.004383841518709328,0.79,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,13,-0.0031366904112545275,-0.013587708319935166,0.0020619693263473843,0.844,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,4,-0.00018061972653298568,-0.0011923403166158371,0.0006247385988059802,0.614,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,8,-0.00018061972653298568,-0.0010504035772857666,0.0004731779232118319,0.638,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,13,-0.00018061972653298568,-0.0009543993332351243,0.0003334800510818254,0.649,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,4,-0.0016649255362797316,-0.0066333939060790855,0.001240450779632281,0.782,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,8,-0.0016649255362797316,-0.005770834337816751,0.0009009583995938454,0.78,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,13,-0.0016649255362797316,-0.004179064780583596,0.0006964380132186709,0.7185,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,4,-0.005754585739729294,-0.02141206063428363,0.004678309610516637,0.92,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,8,-0.005754585739729294,-0.01900459703951242,0.003561849411888463,0.9065,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,13,-0.005754585739729294,-0.019452923919833033,0.0010153617820767243,0.962,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,4,-0.0155733467492788,-0.03514893302857622,0.0006002294097881984,0.9685,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,8,-0.0155733467492788,-0.0370170437886158,0.0014521980725784914,0.9615,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,13,-0.0155733467492788,-0.03569202476487978,0.006722216934437212,0.886,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,8,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,13,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.00774124886488154,0.0009999176544969934,0.01662365053351169,0.008,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,8,0.00774124886488154,0.0005744520425737061,0.018131613725670095,0.0125,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,13,0.00774124886488154,0.0002658382764485683,0.018107844989841623,0.02,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,4,-0.0012132982009237015,-0.006042436038595597,0.0018372230707602414,0.7005,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,8,-0.0012132982009237015,-0.005380550023355489,0.002272771572587192,0.5855,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,13,-0.0012132982009237015,-0.003934435268521671,0.002660880814792447,0.435,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,4,-0.009655390038516891,-0.02219129406825301,0.0005025477438351649,0.968,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,8,-0.009655390038516891,-0.024030711452833718,0.00011269192259786678,0.9735,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,13,-0.009655390038516891,-0.024057515184260227,-1.0531169290009853e-05,0.976,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,4,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,8,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,13,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,4,-0.0012132982009237015,-0.006042436038595597,0.0018372230707602414,0.7005,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,8,-0.0012132982009237015,-0.005380550023355489,0.002272771572587192,0.5855,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,13,-0.0012132982009237015,-0.003934435268521671,0.002660880814792447,0.435,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,4,-0.01327049207282823,-0.03481630548566194,0.0023015418448839335,0.955,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,8,-0.01327049207282823,-0.032709445379865566,0.0032679991873543787,0.947,196
