evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,62.0,0.1581401813390982,0.26424803378173417,0.4103662975608223,0.9482875983407134,0.8091970249111049,0.6612903225806451,0.9032258064516129,0.967741935483871,0.4953923370441289,0.9200263593057968,1.7306945585465527
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,JPN,67.0,0.18138511693431078,0.26279663896625083,0.5908313669780042,0.8912324740476695,0.9680740681618646,0.6417910447761194,0.7761194029850746,0.9552238805970149,0.22682827831008945,0.5051502601633665,1.828910055552279
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,67.0,0.11666481419424027,0.21130334233857048,0.36555868044970646,0.9631294050166853,0.9845957378880998,0.47761194029850745,0.8208955223880597,0.9552238805970149,0.2430780356583088,0.4865215211564591,0.9510416743693066
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,CHN,62.0,0.22748891206650199,0.4069699335399442,0.6002402885899387,0.8890446045817035,0.7597365818348751,0.6612903225806451,0.8387096774193549,0.9838709677419355,0.7984770854895452,1.2403389738202126,2.3470150717904525
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,JPN,67.0,0.2730228387552236,0.4146654516931944,0.7621294720875942,0.809411690713328,0.9057785936627026,0.6865671641791045,0.7313432835820896,0.9253731343283582,0.41912678820846355,0.6286912752074414,2.614231268810125
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,67.0,0.20302697469767328,0.3323071878831056,0.6027100552437186,0.8956607975788294,0.964642030489265,0.3283582089552239,0.6716417910447762,0.9104477611940298,0.30645714663423995,0.67444845896433,1.3465297479139595
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,CHN,62.0,0.31186273042491747,0.5210129503674141,0.7723137885137883,0.8071348103224417,0.7825024884239341,0.7096774193548387,0.8387096774193549,0.8709677419354839,1.1895019369527648,1.6135283166885,2.406427710192983
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,JPN,67.0,0.3753234414608275,0.5771296614104919,1.0363927035162108,0.6217932482092546,0.8650331231542822,0.5522388059701493,0.6865671641791045,0.9850746268656716,0.3262796289489357,0.8278789406620805,4.790076268184216
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,USA,67.0,0.25469277596262807,0.43192111610078754,0.7170387686773634,0.8512611517344635,0.9561816585521592,0.2835820895522388,0.5970149253731343,0.8805970149253731,0.3762992824012199,0.7795805785766841,1.5970381750780234
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,CHN,62.0,0.3897858133697909,0.6684179321989389,0.9866551318196973,0.6879694695358662,0.7249099691755062,0.6129032258064516,0.8225806451612904,0.8870967741935484,1.2056984682340637,1.8830951076514697,2.777327411741739
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,JPN,67.0,0.4310134121988064,0.6442981255429701,1.157497139934671,0.46584590506680185,0.79935349346996,0.5970149253731343,0.6716417910447762,1.0,0.43858501341401157,0.8420207129747665,6.008337057206484
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,67.0,0.2814000695118409,0.4731365261875895,0.7647803398852049,0.828782624424183,0.9445686008460373,0.373134328358209,0.582089552238806,0.9253731343283582,0.47214319525482173,0.9182099891150276,2.2032777902587504
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,1,CHN,62.0,0.1581401813390982,0.26424803378173417,0.4103662975608223,0.9482875983407134,0.8091970249111049,0.6612903225806451,0.9032258064516129,0.967741935483871,0.4953923370441289,0.9200263593057968,1.7306945585465527
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,1,JPN,67.0,0.19862578737866035,0.2989970488977521,0.6165183241764529,0.8864393945026088,0.9610503631574748,0.5522388059701493,0.7611940298507462,0.8955223880597015,0.28844588597833076,0.5817015061112761,0.9320092568899715
