evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,CHN,202.0,0.2743400532051152,0.4528013539464076,0.7720393892253666,0.9020065074720786,0.9074739492939433,0.45544554455445546,0.7722772277227723,0.9207920792079208,0.454764624098134,1.1051885507885086,2.052803793878494
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,1010.0,0.0846574556146784,0.11700219300472262,0.2057489189732688,0.9663909245940093,0.9833175888898145,0.6831683168316832,0.9722772277227723,1.0,0.25736086982830725,0.8141670624105266,2.1162025660627837
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,CHN,202.0,0.4631624305711252,0.7200467863974563,1.2173342638348246,0.753462840069271,0.7964457324152657,0.41089108910891087,0.7425742574257426,0.9851485148514851,0.6806591745403239,1.5487675809963526,8.983267574566849
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,USA,1010.0,0.1397565358359792,0.18744408199177587,0.32774500889739916,0.9153059226006669,0.9590530715233725,0.7663366336633664,0.9712871287128713,1.0,0.4430553636071029,1.4618781167500916,3.2364790849080025
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,CHN,202.0,0.5897707812112606,0.8901856177740138,1.531895773312095,0.5875655668812051,0.6790129313707519,0.4752475247524752,0.8168316831683168,0.9900990099009901,0.9486178000259091,2.491968487724458,12.441181056594422
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,USA,1010.0,0.1778637743343796,0.23082794543238913,0.39841659886916453,0.8780225923363539,0.9373023346336246,0.7514851485148515,0.9861386138613861,1.0,0.5597699729560983,2.0122682789638886,3.914756707523974
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,CHN,202.0,0.6692083519257169,1.0086621576150638,1.7303083824538517,0.4408887170915148,0.5545870304728977,0.4900990099009901,0.8514851485148515,0.9900990099009901,1.1462184679777894,3.6816888900290747,12.012542737620791
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,USA,1010.0,0.2212296513093127,0.2738414378639961,0.4737169967851523,0.8529877767888021,0.9107747171772758,0.7851485148514852,0.9910891089108911,1.0,0.7557053140710216,2.6445964406598748,4.341032372525856
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,CHN,202.0,0.28521323594405984,0.4426564300057818,0.7575614127736204,0.9082123654022177,0.9066511587000887,0.38613861386138615,0.7128712871287128,0.8910891089108911,0.3902599204783547,0.9039198589479251,1.4866308080564474
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,USA,1010.0,0.08636807429243547,0.12890086957732508,0.20399217565936884,0.9669454927442803,0.9780548847719586,0.5871287128712871,0.9267326732673268,0.999009900990099,0.206269401621386,0.7083686461704586,1.9886230502582034
