evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,relative_WIS_vs_no_digital
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.15206337082254975,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593003,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3,0.9644961726522345
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.2345129085064663,0.38464752437208144,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547745,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3,0.9574785543821921
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088429,0.6306936161009734,1.0736626119757549,2.9311807178184073,196.0,3,0.9527411611680816
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.36739976502681276,0.5952841946431661,0.9696442038798576,0.6608659996756171,0.8229440211638345,0.5276841598459316,0.6921039961482909,0.9374899695073022,0.7054755589676324,1.2144419365804213,3.6629807530689913,196.0,3,0.9530012020383511
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,0.1671918855856764,0.2668745986378582,0.4683148672921449,0.9310682202527123,0.9133482921518988,0.4317124057133686,0.7149735194992778,0.9096453217782058,0.2757377148272499,0.6000383024545785,1.1729795247890455,196.0,3,1.060452184333548
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,0.26429240196115006,0.44773013108865206,0.7167005249442234,0.8431176880885447,0.8512179262255687,0.4275397207510833,0.7177820574546622,0.8881399454341197,0.44865409167982423,0.987038545829854,1.6549231779359894,196.0,3,1.079063445059706
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,0.34078347983455654,0.5518895862329175,0.9034946570460954,0.7202808385470054,0.820263846705512,0.3992938533140748,0.6929064355641149,0.8869362863103835,0.5640743295859324,1.096351915203612,2.726418844889073,196.0,3,1.0341406898184844
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,0.41079224486542376,0.6436376941939613,1.0445110036210397,0.6041782641783471,0.7963844173898337,0.43371850425292885,0.6925052158562028,0.9420638741774997,0.6600251385911126,1.2836014873239017,4.0422146913905825,196.0,3,1.0655573040886703
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,0.15766093752803184,0.2575032220027425,0.46404709095648305,0.9325886747419885,0.9183076469287582,0.5736639383726528,0.8284384528968062,0.9394960680468625,0.3423348085820724,0.6664033012572377,1.209635221461568,196.0,3,1.0
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,0.24492758342539014,0.4083271370752553,0.6758241834959736,0.8579436284009475,0.8312404731014209,0.5388380677258867,0.7522067083935163,0.9249719146204461,0.55526066921033,0.877208010618039,1.8398512855206046,196.0,3,1.0
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,0.3295329960320698,0.5461179643557985,0.8768473976000678,0.7501999171370416,0.8266555956481328,0.5263200128390306,0.6875300914780934,0.8877387257262077,0.6517296006079761,1.089469814128528,2.7160453480648212,196.0,3,1.0
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,0.385518679557791,0.625211569747516,1.0036242164159357,0.6486652776907026,0.7712584243470938,0.5392392874337987,0.6676295939656556,0.9325148451291927,0.7505009317042272,1.1781541182079958,3.632181466802223,196.0,3,1.0
temporal_external_2025_2026,0,gb_full_raw,1,0.23957909650376116,0.3508362348332408,0.588094671611677,0.9085658873590269,0.9082798012044323,0.4249719146204462,0.6512598298828439,0.9321136254212807,0.24248807745162348,0.5415086115921461,2.6027861323272465,196.0,3,1.519584370485964
temporal_external_2025_2026,0,gb_full_raw,2,0.29964826329400823,0.4283193993294776,0.6988288783127592,0.8521164558020894,0.8803137081319873,0.40105922002888783,0.6359332370406034,0.8841277483549992,0.24008594183008403,0.5939528496276468,3.0836709705481558,196.0,3,1.22341575049789
temporal_external_2025_2026,0,gb_full_raw,3,0.4102954083266562,0.5954258311349104,0.9120702668532733,0.7291522389785238,0.7982259624149309,0.35307334296260634,0.6173968865350666,0.8729738404750442,0.35172928700382994,0.7808079513346989,3.7197533519123827,196.0,3,1.2450814129906635
temporal_external_2025_2026,0,gb_full_raw,4,0.45882635892560186,0.6990968968334516,1.0095506744433143,0.6971262300778207,0.7790815614578598,0.43050874658963245,0.6703578879794575,0.8460921200449366,0.5873598850921581,1.172895730755983,3.7378953867772924,196.0,3,1.190153378435251
temporal_external_2025_2026,0,persistence,1,0.20573674585383783,0.30397983752962054,0.5271862994274334,0.9177195430606755,0.9150025444218294,0.38019579521746105,0.7265286470871448,0.9317124057133687,0.1607741938379599,0.6920406111069014,2.416995503759372,196.0,3,1.3049316405165876
temporal_external_2025_2026,0,persistence,2,0.3407671945119532,0.5123290390778286,0.8246509244864777,0.7989941385031533,0.8459931206046675,0.3652704220831327,0.67477130476649,0.9524153426416305,0.27350536911135404,0.9375186276816102,4.032818144658117,196.0,3,1.3912977450159578
temporal_external_2025_2026,0,persistence,3,0.45211272479762615,0.675986734730401,1.0914045749287504,0.6347400000936457,0.7844152421835598,0.4025036109773712,0.6598459316321618,0.947038998555609,0.3747702101409445,1.1047988744046453,4.834775230731487,196.0,3,1.3719801362581214
temporal_external_2025_2026,0,persistence,4,0.5405475717748068,0.8202139844799444,1.2848164938967412,0.4858022109313966,0.7131560207097106,0.3602952977050233,0.6391429947038999,0.9524153426416305,0.4216973546933702,1.3324893440338401,5.131296875957954,196.0,3,1.402130688958682
temporal_external_2025_2026,0,seasonal_naive,1,0.4881276907179582,0.81197170697746,1.2195319711984975,0.4243207479904041,0.7068564841290681,0.5662814957470711,0.8843684801797465,0.9796982827796502,1.2478178558424609,3.815243234366735,5.811709467346502,196.0,3,3.0960598000450807
temporal_external_2025_2026,0,seasonal_naive,2,0.4810936696348009,0.792400940777663,1.2032372319390452,0.4207332491577284,0.7133769467299698,0.5770341839191141,0.8843684801797465,0.9796982827796502,1.2438421726102886,3.7906973510502184,5.800854470953815,196.0,3,1.9642282135256182
temporal_external_2025_2026,0,seasonal_naive,3,0.4765842428670526,0.780936873404097,1.194430585086965,0.4022355682594927,0.7148298049953062,0.5716578398330926,0.8843684801797465,0.9796982827796502,1.2277089170486517,3.7882726256476964,5.788642720169992,196.0,3,1.446241343372704
temporal_external_2025_2026,0,seasonal_naive,4,0.4756799038535385,0.7798019489054742,1.1947433594209718,0.38867939023063364,0.7156830180764907,0.576632964211202,0.8843684801797465,0.9796982827796502,1.2149634714402129,3.7806543611141237,5.774360094559596,196.0,3,1.2338699240181223
