evaluation,official_delay_weeks,model,horizon,country,region,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,CHN,northern_provinces,101.0,0.20266546499933566,0.344956975174118,0.5793636489641938,0.9007867349380374,0.847462394401986,0.48514851485148514,0.8118811881188119,0.9306930693069307,0.3979597277453432,0.9972246481249084,1.745922644871084
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,CHN,southern_provinces,101.0,0.3460146414108946,0.5606457327186972,0.9254336277064115,0.898218738982734,0.9151787747049539,0.42574257425742573,0.7326732673267327,0.9108910891089109,0.5115695204509247,1.2131524534521085,2.359684942885904
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs1,101.0,0.08192457528131289,0.11075774849041659,0.23109808285244396,0.9470357265886621,0.9837740244612696,0.7920792079207921,0.9702970297029703,1.0,0.25811129481032874,0.7724481280417989,1.8702802551288724
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs10,101.0,0.0940071132215943,0.10197914187350729,0.17908548624989357,0.9391159550099829,0.9693302271403611,0.7326732673267327,0.9900990099009901,1.0,0.25334622675464424,1.088487460641341,3.370735337259147
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs2,101.0,0.06798007015768207,0.09038305116521456,0.15204876020818803,0.9561200719720814,0.9738147932440301,0.7821782178217822,0.9801980198019802,1.0,0.2570427852161971,0.693451869406137,1.4305918726316602
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs3,101.0,0.07039128882614883,0.09847371476541175,0.1658514369242785,0.9629135819023295,0.9857425742574257,0.6633663366336634,0.9900990099009901,1.0,0.22175960372554868,0.680836431756131,1.9520830073852495
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs4,101.0,0.09807099268878926,0.12924176151168829,0.24995849730640393,0.9635823027603019,0.980535818287711,0.6336633663366337,0.9702970297029703,1.0,0.2366722479560765,0.8544328554812441,2.930994930699689
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs5,101.0,0.08170135217701745,0.12017604605614023,0.21822439729768134,0.9677582368603638,0.9875713453698312,0.7128712871287128,0.9504950495049505,1.0,0.2576912244806653,0.6730506665726361,1.9663424091351134
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs6,101.0,0.06667509586188972,0.09987427538214151,0.14819578425561855,0.9699267771366747,0.9514967967384973,0.6336633663366337,0.9405940594059405,1.0,0.2611115051821731,0.5633881040835429,1.1952810793915616
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,USA,hhs7,101.0,0.06725248733820259,0.09132588721511653,0.14984980352338748,0.9629012029927525,0.9791962725684332,0.7227722772277227,0.9603960396039604,1.0,0.22269423249416645,0.5285015374661821,2.1850164331037094
